1st Batch,,,,,,,,,,,,,,,,,,,
Control,,,,,,HA-VHL,,,,,,,Expression Fold Change,,,KLF6,PDGFB,VEGFA,
,Target,Raw,Average,delta Ct,,,Target,Raw,Average,delta Ct,,,,,Control,1,1,1,
,KLF6,24.06182671,24.03881168,0.859036446,,,KLF6,,25.3098774,3.961866379,,,,,HA-VHL,0.116400573,0.113512929,0.050938617,
,,24.01579666,,,,,,25.3098774,,,,,,,iKLF6,0.235539441,0.468799669,0.275313595,
,PDGFB,24.79685211,24.71465111,1.53487587,,,PDGFB,26.09891319,26.02195835,4.673947334,,,,,HA-VHL + iKLF6-2,0.055736138,0.078555958,0.027935168,
,,24.6324501,,,,,,25.94500351,,,,,,,,,,,
,VEGFA,21.58056641,21.67522049,-1.504554749,,,VEGFA,23.9513855,24.13855267,2.790541649,,,,,,,,,
,,21.76987457,,,,,,24.32571983,,,,,,,,,,,
,ACTB,23.05218506,23.17977524,0,,,ACTB,21.96527481,21.34801102,0,,,,,,,,,
,,23.30736542,,,,,,20.73074722,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
iKLF6,,,,,,HA-VHL + iKLF6-2,,,,,,,,,,,,,
,Target,Raw,Average,delta Ct,,,Target,Raw,Average,delta Ct,,,,,,,,,
,KLF6,25.8261795,25.85178852,2.94499588,,,KLF6,25.68341064,25.62926006,5.024279594,,,,,,,,,
,,25.87739754,,,,,,25.57510948,,,,,,,,,,,
,PDGFB,25.54877281,25.53462505,2.627832413,,,PDGFB,25.8888092,25.80999184,5.205011368,,,,,,,,,
,,25.52047729,,,,,,25.73117447,,,,,,,,,,,
,VEGFA,23.37439728,23.26309013,0.356297493,,,VEGFA,24.29391861,24.2621994,3.657218933,,,,,,,,,
,,23.15178299,,,,,,24.23048019,,,,,,,,,,,
,ACTB,22.84095192,22.90679264,0,,,ACTB,20.61752892,20.60498047,0,,,,,,,,,
,,22.97263336,,,,,,20.59243202,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Should have 2nd Batch here too but I was too lazy to find another dataset lol,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Average of Batches,,,,,,,,,,,,,,,,,,,
Batch 1,,,,,Batch 2,,,,,,,,,,,,,,
,KLF6,PDGFB,VEGFA,,,KLF6,PDGFB,VEGFA,,,,,,,,,,,
Control,1,1,1,,Control,1,1,1,,,,,,,,,,,
HA-VHL,0.116400573,0.113512929,0.050938617,,HA-VHL,0.760916837,0.449728415,0.241725953,,,,,,,,,,,
iKLF6,0.235539441,0.468799669,0.275313595,,iKLF6,0.378965663,0.465948066,0.480675575,,,,,,,,,,,
HA-VHL + iKLF6-2,0.055736138,0.078555958,0.027935168,,HA-VHL + iKLF6-2,0.332609584,0.29304008,0.190138779,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Average,,,,,Standard Deviation,,,,,,,,,,,,,,
,KLF6,PDGFB,VEGFA,,,KLF6,PDGFB,VEGFA,,,,,,,,,,,
Control,1,1,1,,Control,0,0,0,,,,,,,,,,,
HA-VHL,0.438658705,0.281620672,0.146332285,,HA-VHL,0.455741821,0.23774025,0.134907019,,,,,,,,,,,
iKLF6,0.307252552,0.467373868,0.377994585,,iKLF6,0.101417654,0.002016388,0.145212848,,,,,,,,,,,
HA-VHL + iKLF6-2,0.194172861,0.185798019,0.109036974,,HA-VHL + iKLF6-2,0.195779091,0.151663178,0.114695273,,,,,,,,,,,
